,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,HV1,HV2,KV1,KV2,AV1,Vfdt1,Vfdt2,HR1,HR2,HR3,THR1,THR2,HR4,HR5,HR6,THR4,THR5,HR7,HR8,HR9,THR7,THR8,H1,H2,H3,H4,H5,H6,H7,TH2,TH3,TH5,TH6,H8,H9,H10,H11,H12,H13,H14,TH9,TH10,TH12,TH13,H15,H16,H17,THR15,THR16,K1,K2,K3,K4,K5,K6,K7,TK2,TK3,TK5,TK6,K8,K9,K10,TK8,TK9,K11,K12,K13,TK11,TK12,A1,A2,A3,A4,A5,A6,A7,TA2,TA3,TA5,TA6,A8,A9,A10,TA8,TA9,F4,F5,HM1,HM2,THM1,THM2,HM3,HM4,THM3,THM4,HM5,HM6,THM5,THM6,KM1,KM2,TKM1,TKM2,KM3,KM4,TKM3,TKM4,KM5,KM6,TKM5,TKM6,AM1,AM2,TAM1,TAM2,AM3,AM4,TAM3,TAM4,AM5,AM6,TAM5,TAM6
M_DR_L031M3NAAA,68.096133,31.903867,1.048997,66.392194,1.138333,52.752116,0.921271,58.308268,0.559047,35.382700,0.593333,101.182939,0.370000,0.183333,-75.459986,57.155524,121.728584,-171.502166,-71.571088,33.411732,73.170372,23.215000,17.217333,5.997667,70.123006,0.146843,1.101333,-7.426333,8.527667,21.650874,70.436309,3.655333,-7.678000,11.333333,32.510855,88.857533,45.015667,45.048667,8.636000,25.586333,47.396333,25.586333,38.760333,2.996918,55.331833,90.513927,68.096133,-0.048667,3.507000,-6.387333,-6.347000,3.670333,-6.701000,10.732667,16.563594,65.838351,95.014730,70.455926,-3.786000,-21.241333,17.455333,80.697289,20.943731,11.278667,53.479000,8.031000,54.821333,63.589333,9.146000,55.638333,67.656532,30.096568,74.195441,98.393111,-0.563333,-12.498000,11.934667,43.342836,66.600599,-5.528333,-21.251333,15.723000,10.257665,46.993364,3.395000,15.210667,-11.222667,-8.641333,7.696333,-8.641333,26.433333,48.420772,65.302340,88.115829,68.096133,20.544333,1.909667,18.634667,84.766409,43.267220,54.446667,-75.010000,0.366000,-0.462000,97.962855,56.017074,0.901667,-0.219667,18.750399,62.384104,0.159333,-0.054333,17.426924,58.359964,0.732000,-0.233667,16.683365,97.811340,0.285667,-0.115667,38.555272,62.710496,0.076667,-0.008333,45.221939,59.581000,1.000667,-0.125333,48.001715,6.139469,0.180667,-0.009000,52.670866,78.604608,0.023000,-0.148667,6.153486,54.736973
M_DR_L043M2NAAA,63.129910,36.870090,0.982977,58.510516,1.373333,43.733370,0.717097,42.684321,0.539583,32.118056,0.786667,76.392903,0.435000,0.201667,2.177240,3.143837,6.517048,-35.903572,-0.900956,4.583662,15.805778,13.541000,1.956333,11.584667,50.054708,93.092573,3.626000,-0.621667,4.247667,55.803180,37.055070,-2.633667,-15.760000,13.126333,32.036445,70.578236,26.371000,28.767000,-0.453333,9.314667,27.492667,9.068333,29.220333,12.016213,50.115579,100.000000,64.407494,0.838667,4.086667,-2.885000,-2.968667,2.727333,-3.491667,7.578333,17.614934,61.487881,87.840789,66.298307,12.931333,2.255667,10.675667,51.718753,8.609873,13.799667,30.577333,9.951667,30.893667,31.565000,12.009333,21.617000,62.765465,45.526343,63.996882,96.159451,3.267333,-1.752667,5.020000,82.789269,62.158645,7.782333,-4.266667,12.049000,62.903547,94.112252,3.459000,13.874000,-5.196000,-0.629667,4.574333,-0.762000,19.070000,46.162414,4.499568,84.192180,75.673464,8.546333,-16.343667,24.890000,74.603247,39.565574,17.446667,-42.673333,0.567333,-0.461667,12.202483,57.785762,0.671000,-0.085333,17.072165,76.928182,0.107667,-0.022000,16.839877,66.489415,0.427333,-0.173333,14.200107,66.790123,0.395667,-0.061000,17.072165,68.552477,0.037667,-0.017000,36.298930,56.976355,0.960000,-0.100667,45.186611,2.677344,0.184000,-0.035333,45.038442,4.865400,0.192667,-0.010333,44.167415,6.401855
M_DR_L043M3NAAA,64.605862,35.394138,1.083733,64.126233,1.276667,47.023878,0.849076,50.241156,0.616837,36.499211,0.706667,84.918020,0.433333,0.171667,-41.907668,51.516067,53.155519,-69.581701,-53.766468,23.922570,29.875651,22.368667,8.843000,13.525667,67.753594,62.989333,3.221667,-2.712333,5.934000,51.864003,26.916073,0.899667,-8.020000,8.919667,58.691900,82.528469,35.216000,35.452000,4.789333,14.538333,37.302333,14.538333,32.513000,1.421189,53.515933,95.271615,64.605862,-2.781667,3.711667,-4.152333,-1.239000,0.171000,-4.370667,8.557333,51.729050,4.304768,79.892922,81.248329,7.124333,-3.096667,10.221000,54.427378,3.676408,13.753667,27.677333,7.511667,28.334000,31.295333,13.970667,23.783667,64.213997,42.926638,78.020273,99.330990,3.478333,-3.250667,6.729000,78.940568,64.871499,-9.715667,-21.191000,11.475333,54.971530,70.497724,4.480333,16.670000,-6.675000,0.926667,9.765333,0.926667,23.345000,49.056166,5.488903,90.311027,64.605862,17.798333,-16.456000,34.254333,82.172070,42.584897,19.043333,-57.936667,0.527333,-0.586333,13.029586,58.145565,0.719000,-0.133000,15.779325,77.289805,0.111333,-0.036333,15.650126,54.927664,0.468333,-0.222000,15.520927,98.058120,0.339000,-0.079667,23.930367,66.780143,0.062333,-0.007667,43.276742,23.103401,0.978000,-0.101333,48.024060,2.480393,0.134667,-0.017333,50.012530,4.177054,0.241000,-0.023667,46.331667,38.270076
M_DR_L076M3NAAA,69.095944,30.904056,1.031623,55.463620,1.235000,48.592989,0.835317,44.909505,0.527717,28.371864,0.590000,101.752402,0.420000,0.243333,-49.288426,79.272250,179.427582,-164.891533,-99.167815,28.870219,9.824509,9.704667,6.950000,2.754667,41.975763,59.802981,0.837667,-3.305333,4.143000,44.977138,78.919433,1.731667,-9.581333,11.313000,45.957028,29.508197,30.185333,30.637667,0.204000,16.999333,34.100667,16.999333,33.896667,3.401361,54.933212,89.340359,69.095944,-1.530333,2.806000,-8.715000,-8.923000,0.310667,-9.935667,12.741667,46.702663,68.691003,100.000000,71.673544,8.371667,-1.604000,9.975667,25.024596,57.413355,10.346667,57.375000,10.016000,58.239000,63.013333,7.456667,55.756333,68.691003,0.802325,73.147467,100.000000,7.956333,-2.123667,10.080000,77.870154,36.821308,6.156000,-9.829000,15.985000,71.665428,84.081633,2.637667,15.809000,-6.856000,-5.861667,5.623000,-5.861667,22.665000,52.254687,46.243572,87.535036,69.095944,8.648667,-11.709000,20.357667,54.677088,79.759365,107.566667,-59.730000,0.912667,-0.397333,6.635999,56.449141,1.143000,-0.418000,45.456922,2.557588,0.094333,-0.059000,17.259643,70.986704,0.426000,-0.395333,17.266954,2.962529,0.455000,-0.174667,22.293037,2.694200,0.080667,-0.015667,46.193450,43.855929,1.749667,-0.104000,52.780008,8.779104,0.566667,-0.006333,54.118434,90.419129,0.020000,-0.177333,43.996877,56.957920
M_DR_L077M1NAAA,66.533531,33.466469,1.036353,62.455625,1.260000,47.622565,0.822505,49.568135,0.518293,31.234763,0.616667,97.370219,0.468333,0.186667,-63.755265,76.086024,140.043990,-151.674325,-151.594850,25.080528,36.586391,0.435333,-7.033000,7.468333,30.329937,75.017202,-1.158333,-11.236333,10.078000,18.387069,67.196007,1.537000,-13.899000,15.436000,27.509105,75.829918,18.703000,18.805333,-18.866667,-5.976333,21.228667,-5.976333,40.095333,4.233733,54.887203,97.106636,66.533531,-3.164667,3.258333,-10.606000,-10.654667,-1.665333,-10.661333,13.919667,19.567653,66.136676,94.732293,66.930905,26.137667,11.493667,14.644000,31.151161,71.280578,11.068333,42.834333,10.358000,43.895333,54.898333,10.101333,45.425000,66.136676,31.889349,74.998714,98.935399,2.414000,-3.110667,5.524667,81.864297,60.831433,-9.825667,-26.957667,17.132000,40.465721,85.585234,-1.412667,14.242000,-18.270000,-18.926333,6.510000,-19.788333,34.030333,46.690754,66.136676,87.033991,67.066371,12.402667,-7.432000,19.834667,60.196555,47.921602,33.573333,-25.640000,0.364333,-0.232667,34.808525,35.531628,0.571333,-0.106667,23.017002,31.590404,0.064000,-0.032667,13.110711,39.576152,0.293667,-0.166000,10.428064,65.999958,0.218667,-0.049333,14.302354,1.456746,0.054000,-0.007667,33.279575,21.416374,0.813333,-0.059667,32.864793,1.191643,0.262333,-0.026667,34.066977,22.979055,0.032333,-0.129000,23.720077,37.366263
M_DR_L080M1NAAA,60.213781,39.786219,0.775443,66.848563,1.226667,49.482376,0.642675,55.403045,0.395560,34.100000,0.685000,88.398722,0.428333,0.173333,-27.047381,52.175211,166.452244,-134.753560,-93.075521,20.949559,1.937702,27.408333,8.923667,18.484667,52.796826,92.353263,16.269000,3.305000,12.964000,16.490943,55.520980,25.768667,1.751667,24.017000,97.222222,43.346942,24.963000,24.967667,2.438667,14.155667,34.967000,14.155667,32.528333,0.157978,52.740019,81.032286,60.213781,-4.292000,11.540000,-4.689000,-4.115333,-2.801333,-8.284000,19.824000,19.394003,20.238095,74.598545,85.543529,-34.272000,-45.305333,11.033333,47.557756,85.754986,2.166667,34.239667,-2.562667,35.641667,51.256667,-0.031333,54.182000,59.801428,9.931823,69.346070,99.052133,10.076000,-8.202667,18.278667,21.722441,69.040868,8.611667,-1.082000,9.693667,48.938857,68.232027,-15.726000,7.889333,-15.971667,-10.603000,-9.047333,-16.212000,24.605333,41.423334,0.682256,87.554419,98.441632,-25.083333,-55.355000,30.271667,65.943325,17.263134,30.056667,-37.930000,0.210667,-0.536667,34.137690,35.484842,0.590667,-0.150333,23.302268,54.922824,0.034667,-0.071000,23.158854,19.787067,0.083667,-0.156000,42.497015,1.730282,0.511667,-0.092000,23.414193,54.520646,0.063667,-0.033333,23.963162,55.992792,0.411667,-0.007333,46.092025,57.219676,0.199333,-0.016333,45.694138,68.386243,0.296000,-0.006667,45.800711,32.158385
M_DR_L085M2NAAA,74.666629,25.333371,0.674523,46.200228,1.773333,33.850301,0.380713,26.076253,0.341197,23.369635,0.860000,69.772186,0.463333,0.461667,-51.476751,38.797946,69.347533,-92.471409,-23.701440,9.453580,72.002675,15.458333,10.058000,5.400333,17.678043,48.734461,4.124333,-5.387333,9.511667,50.479294,34.843234,7.420333,-7.092667,14.513000,43.262072,30.083565,46.915000,47.296667,2.574333,20.510333,49.064667,20.510333,46.490333,4.075134,63.028503,92.822033,74.666629,-2.850333,9.678000,-6.759333,-6.943000,-3.921000,-7.906667,17.584667,49.623844,74.384543,97.307335,77.688869,2.142000,-6.410333,8.552333,32.226329,67.371922,28.127333,51.925333,9.972333,52.973000,58.937000,25.028000,48.964667,74.384543,48.746807,78.532106,100.000000,-2.003667,-8.058667,6.055000,82.835934,53.375530,-3.921667,-16.226000,12.304333,6.866445,79.837586,7.040667,17.459333,-0.460667,1.501667,16.642333,0.805667,18.490000,58.727180,49.252862,89.066696,82.607534,13.218000,-1.331000,14.549000,69.970060,31.913367,45.126667,-43.903333,0.350000,-0.242000,15.962419,85.000399,1.078667,-0.060667,40.984628,81.329234,0.164667,-0.042333,24.322929,2.353072,0.510333,-0.130000,22.014439,0.831025,0.440000,-0.065000,44.828451,3.578314,0.057000,-0.016000,53.737408,67.244110,0.627333,-0.074333,57.862670,4.716813,0.101667,-0.004667,48.540281,1.795968,0.002667,-0.055000,50.144520,57.194464
M_DR_L091M2NAAA,67.143497,32.856503,1.146883,63.715741,1.593333,37.711214,0.720249,40.013833,0.606160,33.675556,0.873333,68.787261,0.483333,0.258333,-48.341004,31.239634,66.139193,-155.407649,10.754474,41.829616,26.154341,9.126667,5.432000,3.694667,80.104327,36.414491,2.800000,-3.057667,5.857667,18.946493,68.227087,4.971000,-3.500667,8.471667,31.790195,83.344214,26.367000,26.369000,-14.578333,5.144333,32.590667,5.144333,47.169000,0.215054,54.366359,86.503456,67.143497,-3.062667,4.992333,-8.231667,-8.443000,-1.563333,-9.287000,14.279333,25.951741,66.829237,98.602151,70.410266,8.286000,-3.055000,11.341000,65.277778,70.451229,1.219000,45.747667,-3.181333,47.296000,64.777000,0.107333,67.958333,66.829237,35.551075,74.280594,98.230287,10.161667,-2.050000,12.211667,71.608423,46.444572,28.856000,8.939333,19.916667,70.823733,65.972222,1.877333,14.822000,-17.489667,-15.435667,11.857667,-15.435667,32.311667,43.351254,45.431388,87.760497,67.143497,19.009667,-21.574333,40.584000,63.545827,42.035970,61.800000,-88.186667,0.456000,-0.526333,1.050307,68.676395,0.971667,-0.122000,42.077573,1.149514,0.034667,-0.162000,76.033666,41.970046,0.092667,-0.689333,73.604711,42.507680,0.303333,-0.142667,20.608679,1.149514,0.135000,-0.017000,41.970046,40.345622,1.519667,-0.073333,44.790067,1.033666,0.291000,-0.011333,47.593446,44.251152,0.209333,-0.076000,43.086278,56.483615
M_DR_L139M1NAAA,79.858713,20.141287,0.708287,42.159921,2.196667,27.327252,0.322669,19.206488,0.398380,23.713095,1.075000,55.813953,0.446667,0.660000,-18.600239,16.058740,32.339909,-218.428791,-28.319004,14.510753,109.010483,25.067333,20.419667,4.647667,34.044035,39.398242,5.076000,-3.348333,8.424333,14.418710,65.514096,0.263667,-7.384333,7.648000,28.021309,70.428965,44.719667,45.013000,15.395000,44.554333,54.824000,43.775000,39.429000,27.157738,56.715320,88.960962,92.689168,1.219000,6.302000,-5.289667,-2.859000,3.528000,-2.859000,11.591667,17.029523,72.414772,96.056066,79.858713,-0.216000,-7.695667,7.479667,34.988582,47.077605,5.935333,64.232667,0.392667,64.651000,71.092333,2.074000,70.844333,79.630986,19.853373,84.558401,99.070549,3.456667,-6.932000,10.388667,31.377586,80.342094,-6.519333,-22.010667,15.491333,64.977629,66.115093,4.086667,23.241000,-31.624333,-31.831333,7.601667,-33.678000,56.995333,63.696122,79.556581,97.409919,80.844206,15.988333,-6.788333,22.776667,66.277356,87.978150,56.576667,-74.626667,0.241333,-0.299000,6.739357,64.936541,0.983333,-0.088000,27.769866,92.005335,0.052000,-0.031000,41.457652,87.383214,0.292333,-0.108667,54.127921,97.021006,0.638667,-0.034667,32.382961,91.855185,0.032667,-0.018000,60.751153,27.236221,0.158333,-0.145333,58.292624,27.029416,0.107667,-0.011000,34.138210,92.005335,0.028333,-0.029333,25.593699,71.715550
M_DR_L148M1NAAA,67.880817,32.119183,0.962713,63.336404,1.276667,47.005270,0.754398,49.631437,0.475610,31.290132,0.633333,94.773327,0.536667,0.180000,-57.799410,52.730606,84.097631,-147.117932,-22.933624,-9.937017,69.764698,40.321667,30.118333,10.203333,95.964992,43.488079,13.414667,4.440333,8.974333,12.301768,71.664516,30.111333,13.412333,16.699000,8.896869,60.551271,56.484333,56.496000,24.951333,37.127000,63.133667,37.127000,38.182333,0.265604,54.314969,93.349787,67.880817,-14.978000,3.602667,-15.481333,-7.684667,-7.684667,-17.858667,21.951667,53.010292,2.643737,67.880817,99.734396,-14.608333,-29.692000,15.083667,64.753120,5.504036,8.601000,48.519667,8.090000,49.379333,57.341667,8.433667,49.643333,67.489107,4.738108,74.801822,99.353483,-2.470333,-10.690667,8.220333,83.943545,57.305054,-16.767667,-26.973667,10.206000,57.437856,70.963542,8.077667,8.095667,-9.183000,-7.039667,9.668333,-7.039667,18.851333,0.128700,64.869137,89.151514,67.880817,11.570000,-13.068000,24.638000,85.375414,90.494792,81.106667,-45.170000,0.437333,-0.387333,13.852866,52.619004,0.935667,-0.083000,22.745997,98.571993,0.060333,-0.036333,48.722188,65.353064,0.304000,-0.215000,53.411715,95.170773,0.274000,-0.106333,31.227812,6.138669,0.075667,-0.003333,39.297049,70.874582,1.042000,-0.186333,44.525193,6.014734,0.295333,-0.036333,52.744448,7.039570,0.124333,-0.044667,23.001467,42.598266
