,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,HV1,HV2,KV1,KV2,AV1,Vfdt1,Vfdt2,HR1,HR2,HR3,THR1,THR2,HR4,HR5,HR6,THR4,THR5,HR7,HR8,HR9,THR7,THR8,H1,H2,H3,H4,H5,H6,H7,TH2,TH3,TH5,TH6,H8,H9,H10,H11,H12,H13,H14,TH9,TH10,TH12,TH13,H15,H16,H17,THR15,THR16,K1,K2,K3,K4,K5,K6,K7,TK2,TK3,TK5,TK6,K8,K9,K10,TK8,TK9,K11,K12,K13,TK11,TK12,A1,A2,A3,A4,A5,A6,A7,TA2,TA3,TA5,TA6,A8,A9,A10,TA8,TA9,F4,F5,HM1,HM2,THM1,THM2,HM3,HM4,THM3,THM4,HM5,HM6,THM5,THM6,KM1,KM2,TKM1,TKM2,KM3,KM4,TKM3,TKM4,KM5,KM6,TKM5,TKM6,AM1,AM2,TAM1,TAM2,AM3,AM4,TAM3,TAM4,AM5,AM6,TAM5,TAM6
M_DR_L031M3NAAA,68.096133,31.903866999999998,1.048997,66.39219399999999,1.138333,52.752116,0.921271,58.308268000000005,0.5590470000000001,35.3827,0.593333,101.182939,0.37,0.183333,-75.459986,57.155524,121.72858400000001,-171.502166,-71.571088,33.411732,73.170372,23.215,17.217333,5.997667,70.123006,0.146843,1.101333,-7.4263330000000005,8.527667,21.650873999999998,70.436309,3.655333,-7.678,11.333333,32.510855,88.85753299999999,45.015667,45.048667,8.636,25.586333,47.396333,25.586333,38.760333,2.996918,55.331832999999996,90.513927,68.096133,-0.048667,3.507,-6.387333,-6.347,3.6703330000000003,-6.701,10.732667,16.563594000000002,65.838351,95.01473,70.455926,-3.786,-21.241332999999997,17.455333,80.697289,20.943731,11.278667,53.479,8.031,54.821332999999996,63.589332999999996,9.146,55.638332999999996,67.656532,30.096567999999998,74.195441,98.393111,-0.563333,-12.498,11.934667,43.342836,66.600599,-5.528333,-21.251333,15.723,10.257665,46.993364,3.395,15.210667,-11.222667,-8.641333,7.696333,-8.641333,26.433333,48.420772,65.30234,88.115829,68.096133,20.544332999999998,1.9096669999999998,18.634667,84.766409,43.26722,54.446667000000005,-75.01,0.366,-0.462,97.962855,56.017074,0.901667,-0.219667,18.750398999999998,62.384104,0.159333,-0.054333000000000006,17.426924,58.359964,0.732,-0.233667,16.683365,97.81134,0.285667,-0.115667,38.555271999999995,62.710496,0.076667,-0.008333,45.221939,59.581,1.000667,-0.125333,48.001715000000004,6.139469,0.180667,-0.009,52.670866000000004,78.604608,0.023,-0.148667,6.153486,54.736973
M_IZ_L031M3NAAA,67.723138,32.276862,1.097733,69.476793,1.146667,52.336464,0.9572350000000001,60.584523,0.538687,34.094093,0.553333,108.435708,0.363333,0.23,-84.154538,68.222663,149.11111200000002,-217.07854500000002,-83.763974,1.5908229999999999,29.342871999999996,23.238332999999997,17.92,5.318333,38.898136,67.938988,7.4263330000000005,-2.863667,10.29,22.387925,77.28814799999999,7.678,-6.429333,14.107332999999999,40.686695,87.493728,39.857,41.071,1.954667,15.697332999999999,43.412,15.697332999999999,41.472333,3.7821730000000002,55.22093,88.347522,67.723138,1.385,4.275333,-7.052,-7.217,1.371,-7.972,12.247333,22.251304,67.287001,94.919409,70.053327,16.23,-9.714667,25.944667000000003,91.547428,67.729579,0.4,47.116333000000004,0.245333,48.924,63.971667000000004,-1.103667,65.075333,67.287001,14.057970999999998,74.99525200000001,98.253585,12.893333,4.8236669999999995,8.069666999999999,65.031024,68.60694000000001,-7.957333,-37.752333,29.795,73.099846,33.333333,2.219,10.049333,-17.025333,-15.457667,9.066667,-15.457667,27.641,37.914287,65.69246600000001,94.340542,67.723138,13.547667,-27.885,41.432666999999995,85.17269,30.383529,99.49,-45.73,0.619,-0.384333,12.661013,52.607839,0.897333,-0.261333,24.547753,97.37944499999999,0.11233299999999999,-0.10266700000000001,18.446075,48.233073,0.354667,-0.221667,18.241131,96.510902,0.698667,-0.101333,49.413683,64.683571,0.20233299999999999,-0.015,50.291044,7.262964,1.206667,-0.133667,51.596235,5.523501,0.283,-0.093,53.611647,20.078055,0.275667,-0.28,41.748295,55.075159
M_DR_L043M2NAAA,63.129909999999995,36.870090000000005,0.982977,58.510516,1.373333,43.73337,0.717097,42.684321000000004,0.539583,32.118056,0.786667,76.392903,0.435,0.201667,2.1772400000000003,3.143837,6.517048,-35.903572,-0.900956,4.583662,15.805778,13.541,1.956333,11.584667,50.054708000000005,93.092573,3.626,-0.621667,4.247667,55.803180000000005,37.05507,-2.633667,-15.76,13.126332999999999,32.036445,70.578236,26.371,28.767,-0.453333,9.314667,27.492666999999997,9.068333,29.220333,12.016213,50.115579,100.0,64.407494,0.838667,4.086666999999999,-2.885,-2.968667,2.7273330000000002,-3.4916669999999996,7.578333,17.614933999999998,61.48788100000001,87.840789,66.298307,12.931333,2.255667,10.675667,51.718753,8.609873,13.799667000000001,30.577333000000003,9.951667,30.893666999999997,31.565,12.009333,21.617,62.765465,45.526343,63.99688199999999,96.159451,3.2673330000000003,-1.7526669999999998,5.02,82.78926899999999,62.15864499999999,7.782333,-4.266667,12.049,62.903546999999996,94.112252,3.459,13.874,-5.196,-0.629667,4.574333,-0.762,19.07,46.162414,4.499568,84.19218000000001,75.673464,8.546333,-16.343667,24.89,74.603247,39.565574,17.446667,-42.673333,0.567333,-0.461667,12.202483,57.785762,0.671,-0.085333,17.072165,76.92818199999999,0.10766700000000001,-0.022,16.839876999999998,66.48941500000001,0.427333,-0.173333,14.200107000000001,66.790123,0.395667,-0.061,17.072165,68.552477,0.037667,-0.017,36.29893,56.976355000000005,0.96,-0.10066699999999999,45.186611,2.6773439999999997,0.184,-0.035332999999999996,45.038441999999996,4.8654,0.192667,-0.010333,44.167415000000005,6.401855
M_IZ_L043M2NAAA,69.48659599999999,30.513403999999998,1.026027,61.073016,1.423333,42.239528,0.723313,43.054327,0.486443,28.954959999999996,0.636667,94.53041400000001,0.506667,0.28,-61.68790799999999,93.048755,162.464291,-121.90188899999998,-104.237392,22.459213000000002,74.833838,13.424,1.956333,11.467667,18.886576,48.606621999999994,0.712667,-3.427667,4.140333,60.534953,30.239724,15.76,3.678,12.082,26.807415999999996,87.350787,31.84,31.968333,-6.5963330000000004,14.161,34.026333,14.161,40.622667,2.060606,54.27304,88.219235,69.48659599999999,-6.748,3.954333,-7.547667,-2.555333,-2.455,-8.938667,13.276667000000002,58.950873,4.487462,78.423795,83.878023,1.837333,-12.521666999999999,14.359,9.965461999999999,82.818934,16.424332999999997,53.102332999999994,9.823333,54.182,59.959667,15.757333,50.136333,69.1346,37.619653,73.457363,95.820412,1.928333,-4.6123330000000005,6.540667,82.465451,61.70951899999999,4.928333,-6.256667,11.185,68.40005699999999,0.582341,12.185333,20.194333,-4.131333000000001,-2.724,15.681332999999999,-2.724,24.325667000000003,52.193985,48.639829,89.08860899999999,69.48659599999999,-1.6423330000000003,-18.360332999999997,16.718,84.028885,66.416024,72.67,-35.273333,0.783667,-0.691,6.437839,55.350113,0.892,-0.352333,51.325098,2.100336,0.065,-0.076333,19.4788,2.6938779999999998,0.384,-0.212,10.768703,31.800158000000003,0.36933299999999997,-0.172,48.442653,2.221109,0.11533299999999999,-0.008667,54.217034999999996,28.72202,1.284333,-0.155,54.106584999999995,6.192315,0.241,-0.101,56.538709999999995,22.595986,0.193,-0.048333,47.739247999999996,4.430139
M_DR_L043M3NAAA,64.605862,35.394138,1.083733,64.126233,1.276667,47.023878,0.849076,50.241156,0.616837,36.499210999999995,0.706667,84.91802,0.43333299999999997,0.17166700000000001,-41.907668,51.516067,53.15551899999999,-69.581701,-53.766468,23.92257,29.875651,22.368667000000002,8.843,13.525667000000002,67.75359399999999,62.989332999999995,3.2216669999999996,-2.712333,5.934,51.864003000000004,26.916072999999997,0.899667,-8.02,8.919667,58.6919,82.528469,35.216,35.452,4.789333,14.538332999999998,37.302333000000004,14.538332999999998,32.513,1.421189,53.515933,95.271615,64.605862,-2.7816669999999997,3.711667,-4.1523330000000005,-1.239,0.171,-4.370667,8.557333,51.72905,4.304768,79.892922,81.248329,7.124333,-3.0966669999999996,10.221,54.427378000000004,3.6764080000000003,13.753667000000002,27.677333,7.511667,28.334,31.295333000000003,13.970667,23.783667,64.21399699999999,42.926638,78.020273,99.33099,3.478333,-3.250667,6.729,78.940568,64.871499,-9.715667,-21.191,11.475333000000001,54.97153,70.497724,4.480333,16.67,-6.675,0.926667,9.765333,0.926667,23.345,49.056166,5.488903,90.311027,64.605862,17.798333,-16.456,34.254333,82.17206999999999,42.584897,19.043332999999997,-57.93666700000001,0.5273329999999999,-0.586333,13.029586,58.145565000000005,0.719,-0.133,15.779325,77.289805,0.11133299999999999,-0.036333,15.650126,54.927664,0.468333,-0.222,15.520926999999999,98.05812,0.339,-0.079667,23.930367,66.78014300000001,0.062333000000000006,-0.007667,43.276742,23.103401,0.978,-0.101333,48.02406,2.480393,0.134667,-0.017333,50.01253,4.177054,0.241,-0.023666999999999997,46.331666999999996,38.270076
M_IZ_L043M3NAAA,67.075819,32.924181,1.150933,68.102564,1.311667,45.837375,0.8788360000000001,52.002144,0.534097,31.603353000000002,0.605,99.908659,0.451667,0.255,-74.814098,94.818256,181.951784,-134.93891499999998,-104.422095,36.148171000000005,53.449525,22.368667000000002,9.055667,13.313,22.570492,48.494793,2.41,-3.762,6.172,37.727261999999996,38.458828999999994,8.02,-1.666,9.686,36.928377000000005,46.039915,39.177333000000004,39.318333,-0.744,16.029332999999998,40.224333,16.029332999999998,41.713667,2.921647,54.42125600000001,93.20961,67.075819,-3.414333,5.040333,-5.244,-0.271333,0.262,-4.963667,11.317,50.565866,6.087644999999999,77.567187,81.04782800000001,5.993,-11.666333,17.659333,52.969283999999995,85.79796999999999,13.563,53.591333,4.882333,54.529667,59.902,8.775,55.019667000000005,66.693841,33.377301,71.653356,98.060353,3.037,-2.557667,5.594666999999999,80.302913,64.87163699999999,-3.2976669999999997,-14.932332999999998,11.634667,76.954865,60.266328,14.361332999999998,22.534667000000002,-1.417333,3.079333,19.067,3.079333,23.952,51.670093,27.689583000000002,94.320539,67.075819,20.694333,-34.604,55.29833299999999,83.550613,3.9556839999999998,99.60333299999999,-39.046667,0.936333,-0.970333,19.660321,67.11847900000001,1.086667,-0.248,51.636309999999995,91.241287,0.05,-0.067,49.074692,66.418522,0.328667,-0.357333,51.359956,46.243953000000005,0.423667,-0.14,40.394883,32.380741,0.13,-0.009333,54.113043999999995,62.317811,1.600667,-0.103,53.975289000000004,7.13811,0.271667,-0.108,56.240502,16.711554,0.608,-0.311667,50.500603000000005,57.389537
M_DR_L076M3NAAA,69.09594399999999,30.904056,1.031623,55.46362,1.235,48.592989,0.835317,44.909504999999996,0.527717,28.371864000000002,0.59,101.752402,0.42,0.243333,-49.288426,79.27225,179.427582,-164.891533,-99.167815,28.870219,9.824508999999999,9.704667,6.95,2.754667,41.975763,59.802981,0.837667,-3.305333,4.143,44.977138000000004,78.919433,1.7316669999999998,-9.581333,11.313,45.957028,29.508196999999996,30.185333,30.637666999999997,0.204,16.999333,34.100667,16.999333,33.896667,3.401361,54.933212,89.34035899999999,69.09594399999999,-1.530333,2.806,-8.715,-8.923,0.310667,-9.935667,12.741667,46.702663,68.69100300000001,100.0,71.67354399999999,8.371667,-1.604,9.975667,25.024596,57.413355,10.346667,57.375,10.016,58.239,63.013332999999996,7.4566669999999995,55.756333,68.69100300000001,0.802325,73.147467,100.0,7.956333,-2.1236669999999997,10.08,77.870154,36.821308,6.156,-9.829,15.985,71.665428,84.081633,2.637667,15.809,-6.856,-5.861667,5.623,-5.861667,22.665,52.254687,46.243572,87.535036,69.09594399999999,8.648667,-11.709,20.357667000000003,54.677088,79.759365,107.566667,-59.73,0.912667,-0.397333,6.635999000000001,56.449141000000004,1.143,-0.418,45.456922,2.557588,0.094333,-0.059,17.259643,70.986704,0.426,-0.395333,17.266954000000002,2.962529,0.455,-0.17466700000000002,22.293036999999998,2.6942,0.080667,-0.015667,46.19345,43.855928999999996,1.7496669999999999,-0.104,52.780007999999995,8.779104,0.566667,-0.006333,54.11843399999999,90.419129,0.02,-0.177333,43.996877000000005,56.957919999999994
M_IZ_L076M3NAAA,66.468799,33.531201,1.078493,57.983513,1.253333,47.901715,0.860771,46.278015,0.5507770000000001,29.611649,0.663333,90.52226800000001,0.38166700000000003,0.208333,-22.672116,62.609042,119.908323,-144.59131499999998,-121.584092,5.631715,64.358453,9.591333,6.9873330000000005,2.604,68.84993399999999,23.585,3.305333,-0.7206670000000001,4.026,26.266070000000003,26.763396999999998,8.866,-1.341,10.207,35.900125,58.54695400000001,28.464667,28.643,-2.2576669999999996,8.236,31.399,8.236,33.656667,2.04918,52.821222,90.711448,66.468799,-6.929333,2.9996669999999996,-9.623667,-9.790667,-5.267333,-12.181333,15.181,43.30871,66.069618,100.0,75.941753,1.461333,-10.872667,12.334,56.504525,62.54775,15.342,45.392666999999996,10.713,46.233667,55.021333,10.054,45.153333,66.069618,43.324216,75.770432,99.330656,7.796667,-1.786,9.582667,79.751586,12.639922,11.484,-5.158333,16.642332999999997,12.639922,85.131235,4.005,15.930333,-14.856,-15.337,4.673,-16.147667000000002,32.078,46.301411,66.069618,91.197026,68.569351,21.883667000000003,-1.704,23.587667,79.79778,81.085741,103.14,-61.283333,0.828333,-0.501667,2.920224,49.110231,0.983667,-0.333333,34.23852,40.584212,0.14266700000000002,-0.075,15.970298999999999,69.712779,0.585667,-0.31366700000000003,13.393556,64.98935,0.63,-0.13933299999999998,16.503349,2.3871740000000004,0.129,-0.036333,41.783828,40.855472,1.71,-0.033333,46.949127000000004,3.2147580000000002,0.617,-0.018,48.272945,0.66175,0.030667000000000003,-0.543667,43.558175,50.045204999999996
M_DR_L077M1NAAA,66.53353100000001,33.466469000000004,1.036353,62.455625,1.26,47.622565,0.8225049999999999,49.568135,0.518293,31.234763,0.616667,97.37021899999999,0.468333,0.186667,-63.755265,76.086024,140.04398999999998,-151.674325,-151.59485,25.080528,36.586391,0.43533299999999997,-7.033,7.468333,30.329937,75.017202,-1.158333,-11.236333,10.078,18.387069,67.196007,1.537,-13.899,15.436,27.509104999999998,75.829918,18.703,18.805332999999997,-18.866667,-5.976333,21.228667,-5.976333,40.095333000000004,4.233733,54.887203,97.106636,66.53353100000001,-3.1646669999999997,3.2583330000000004,-10.606,-10.654667,-1.6653330000000002,-10.661333,13.919667,19.567653,66.136676,94.732293,66.93090500000001,26.137667,11.493667,14.644,31.151161,71.280578,11.068333,42.834333,10.358,43.895333,54.898332999999994,10.101333,45.425,66.136676,31.889349,74.998714,98.935399,2.414,-3.110667,5.524667,81.864297,60.831433,-9.825667,-26.957666999999997,17.132,40.465721,85.585234,-1.4126670000000001,14.242,-18.27,-18.926333,6.51,-19.788332999999998,34.030333,46.690754,66.136676,87.033991,67.06637099999999,12.402667,-7.432,19.834667,60.196555000000004,47.921602,33.573333,-25.64,0.364333,-0.232667,34.808525,35.531628000000005,0.571333,-0.10666700000000001,23.017001999999998,31.590404,0.064,-0.032667,13.110710999999998,39.576152,0.293667,-0.166,10.428064,65.99995799999999,0.218667,-0.049333,14.302354000000001,1.4567459999999999,0.054,-0.007667,33.279575,21.416373999999998,0.813333,-0.059667,32.864793,1.191643,0.262333,-0.026667000000000003,34.066977,22.979055,0.032333,-0.129,23.720077,37.366263000000004
M_IZ_L077M1NAAA,63.168925,36.831075,1.032173,62.204374,1.271667,47.183308000000004,0.811743,48.920121,0.51388,30.969610999999997,0.655,91.635097,0.421667,0.195,-0.9588030000000001,52.530977,101.158999,-148.199401,-72.900627,2.652731,43.886863,2.187,-7.033,9.22,69.852202,23.731138,11.236333,0.796667,10.439667,15.988705,66.70818,13.899,0.48,13.419,24.525778,72.631895,12.636333,12.753333,-19.698667,-10.432333,19.000332999999998,-10.432333,38.699,2.635046,52.027734,87.947363,63.168925,3.471,12.786667,3.104333,2.942,4.7226669999999995,0.844333,11.942333,20.973616,42.040822999999996,90.139325,68.812079,8.773,-12.804333,21.577333,43.090809,87.64569300000001,2.471333,33.310333,-0.396,34.549,52.563667,-0.662333,53.812,62.77573100000001,25.700210000000002,73.135684,98.822987,1.7553330000000003,-6.295333,8.050667,26.343531,73.141317,2.7,-9.28,11.98,71.032822,24.645673000000002,-0.20666700000000002,16.742667,-9.829,-5.604,7.560667,-7.971667,26.571666999999998,50.982991999999996,4.455851,84.79614000000001,65.007776,10.629,-11.526333000000001,22.155333,67.579596,72.218568,24.71,-21.11,0.369,-0.364,33.071903999999996,32.742523,0.535333,-0.14033299999999999,11.966118,1.050906,0.030667000000000003,-0.034667,9.997095,29.981949,0.190667,-0.165667,10.522548,33.071903999999996,0.281667,-0.090667,11.966118,1.4461629999999999,0.041,-0.017,30.113182000000002,39.973857,0.685,-0.039333,32.479017999999996,1.9752470000000002,0.106333,-0.024,32.21707,2.102331,0.012667,-0.103,20.341726,33.141411
